                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0594,                  8.804,                0.84862,                 2.4276,                 1.5639,                      1,                0.93463,                0.98365,                0.76179,                0.02776,                0.03125,                0.00146,                0.00029,                0.78555,                 8.9785,                 1.7679,                 1.7392,                 1.4142,             0.00013336,             0.00013336,             0.00013336
                      2,                0.82237,                 6.7322,                0.63953,                 1.4618,                 1.4199,                0.99888,                0.96875,                0.98962,                0.75336,                0.01183,                  0.125,                0.00817,                0.00082,                0.79371,                 9.0453,                0.83848,                 1.3233,                 1.4119,             0.00028058,             0.00028058,             0.00028058
                      3,                0.74699,                 6.1473,                0.56964,                 1.0739,                  1.314,                0.99718,                      1,                  0.995,                0.78559,                0.03172,                0.03125,                0.03172,                0.00335,                0.72712,                 8.5234,                0.95419,                 1.9989,                 1.3001,             0.00042484,             0.00042484,             0.00042484
                      4,                0.73236,                 5.7826,                0.51448,                 1.0272,                 1.2852,                0.99497,                      1,                  0.995,                0.75231,                 0.0311,                0.03125,                0.01538,                0.00193,                0.83627,                 8.9429,                  1.361,                 1.4761,                 1.4678,             0.00056612,             0.00056612,             0.00056612
                      5,                0.74984,                 5.8255,                0.48027,                0.97719,                 1.2837,                0.99561,                      1,                  0.995,                0.74289,                0.00726,                 0.5625,                0.00583,                0.00097,                0.83315,                 9.7036,                  1.755,                 1.1449,                 1.4483,             0.00070443,             0.00070443,             0.00070443
                      6,                 0.7442,                 6.1297,                0.51879,                0.84914,                 1.2663,                0.99577,                      1,                  0.995,                0.77513,                0.00281,                 0.3125,                0.00319,                0.00045,                0.84789,                 8.6462,                 1.3134,                 1.2144,                 1.5084,             0.00083978,             0.00083978,             0.00083978
                      7,                0.66422,                 6.4438,                 0.4896,                0.77323,                 1.2203,                0.99308,                      1,                  0.995,                0.75141,                0.03117,                0.03125,                 0.0378,                0.00381,                0.83898,                 8.3913,                 1.4346,                 1.9167,                 1.5739,             0.00097215,             0.00097215,             0.00097215
                      8,                0.66505,                 6.0769,                0.49534,                0.71382,                 1.2085,                0.92621,                      1,                0.99136,                0.72004,                  0.029,                0.03125,                0.00762,                0.00135,                0.96531,                 9.1299,                 1.7182,                 1.4873,                 1.7978,              0.0011015,              0.0011015,              0.0011015
                      9,                0.76949,                 6.2573,                 0.4708,                0.82047,                 1.3161,                0.91281,                      1,                0.98652,                 0.6904,                 0.0013,                 0.1875,                0.00086,                  9e-05,                 1.0028,                 8.6504,                 1.2275,                 1.5974,                 1.7794,               0.001228,               0.001228,               0.001228
                     10,                0.70422,                 6.1425,                0.46736,                0.75349,                 1.2275,                0.95093,                      1,                  0.995,                0.67405,                      0,                      0,                      0,                      0,                0.97694,                 8.3073,                 0.5729,                  1.328,                 1.6511,              0.0013514,              0.0013514,              0.0013514
                     11,                0.72377,                 5.4976,                0.44177,                0.76613,                 1.2758,                0.99735,                      1,                  0.995,                0.74242,                0.00178,                0.21875,                0.00123,                0.00012,                0.86627,                 8.2181,                0.73724,                0.98505,                 1.5532,              0.0014719,              0.0014719,              0.0014719
                     12,                 0.7351,                 5.8447,                 0.4602,                0.76905,                 1.2749,                0.98535,                      1,                  0.995,                0.62982,                0.00269,                 0.3125,                0.00207,                0.00029,                 1.2231,                 8.3084,                0.57592,                  1.328,                 1.9716,              0.0014855,              0.0014855,              0.0014855
