                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6475,                 8.4143,                0.92043,                 3.2429,                 2.1658,                0.97728,                 0.8125,                0.95513,                0.71143,                 0.0006,                0.03125,                0.00046,                  9e-05,                 1.0439,                 9.2796,                 1.3317,                 2.2327,                 1.6642,             0.00013336,             0.00013336,             0.00013336
                      2,                0.78366,                  6.309,                0.42084,                 1.7219,                 1.5451,                0.93317,                 0.9375,                0.95044,                0.74051,                0.00296,                0.34375,                0.01004,                0.00165,                0.81804,                 10.446,                0.55058,                 1.4316,                 1.4571,             0.00025533,             0.00025533,             0.00025533
                      3,                0.70738,                 5.2932,                0.35071,                 1.3533,                 1.4096,                0.96961,                0.99719,                0.99318,                0.75316,                0.00308,                0.40625,                0.00687,                0.00104,                 0.9181,                 9.4559,                0.69585,                 1.6273,                 1.6577,              0.0003476,              0.0003476,              0.0003476
                      4,                0.65659,                 5.1253,                0.31156,                 1.2264,                 1.3574,                0.96654,                0.96875,                0.99095,                 0.8064,                0.00283,                  0.375,                0.00476,                0.00069,                0.67062,                 9.0969,                 1.1173,                 1.9894,                 1.2467,             0.00041017,             0.00041017,             0.00041017
                      5,                0.58863,                 5.6339,                0.29193,                 1.0256,                 1.2979,                0.99625,                      1,                  0.995,                0.77055,                0.00562,                0.71875,                0.00736,                0.00161,                 0.7809,                 8.0293,                 0.1718,                0.87998,                 1.3907,             0.00044302,             0.00044302,             0.00044302
                      6,                0.61953,                 5.1404,                0.31665,                0.99888,                 1.2766,                0.99319,                      1,                  0.995,                0.87056,                0.03119,                0.03125,                0.01013,                0.00221,                0.58841,                 7.9954,                0.36139,                 1.1144,                 1.2559,             0.00044617,             0.00044617,             0.00044617
                      7,                0.62594,                 4.7515,                0.24548,                0.95931,                 1.3044,                0.99611,                      1,                  0.995,                0.84031,                0.07013,                 0.0625,                 0.0686,                0.00874,                0.72092,                 7.8249,                0.41437,                0.80705,                  1.386,             0.00041962,             0.00041962,             0.00041962
                      8,                0.53977,                 4.8443,                0.21559,                 0.8564,                 1.2303,                0.99732,                      1,                  0.995,                0.84088,                0.06314,                 0.0625,                0.06774,                0.01036,                0.69575,                 7.7632,                0.52702,                0.79274,                 1.3759,             0.00036336,             0.00036336,             0.00036336
                      9,                0.49737,                 4.2811,                0.26524,                 0.7876,                 1.2041,                0.99817,                      1,                  0.995,                 0.8672,                0.06314,                 0.0625,                0.06799,                0.01512,                0.56574,                 7.6925,                 0.6985,                0.70074,                 1.1749,             0.00027739,             0.00027739,             0.00027739
                     10,                0.47968,                 4.5364,                 0.2785,                0.77307,                  1.186,                0.99818,                      1,                  0.995,                0.88327,                0.07351,                 0.0625,                0.07262,                0.01565,                0.51666,                 7.6703,                0.80396,                0.62567,                 1.0748,             0.00016172,             0.00016172,             0.00016172
